,question,answer,answer_cleaned,QA_answers,indicateur
0,when did the first episode of breaking bad air,"['January 20, 2008']",['January 20 2008'],January 20 2008,True
1,how many house of cards seasons are there,['5'],['5'],6,True
2,which festival is a worship of the god of power youth and youthfulness,['Karam'],['Karam'],Karam Devta,True
3,when was the first land before time made,['1988'],['1988'],1988,True
4,the chihuahua is a breed of dog believed to originate from what country,['Mexico'],['Mexico'],Mexico,True
5,actor who plays steve on days of our lives,['Stephen Nichols'],['Stephen Nichols'],Stephen Nichols,True
6,who reformed the athenian constitution into a true democracy,['Solon'],['Solon'],Cleisthenes,True
7,what is the name of the european weather model,['Integrated Forecast System'],['Integrated Forecast System'],European Center for Medium Range Weather Forecasts,False
8,where does the money from pch come from,['multi-magazine subscription business'],['multi-magazine subscription business'],PCH merchandise and magazines,False
9,who plays chloe valentine in be more chill,['Katlyn Carlson'],['Katlyn Carlson'],Margot Cohen,True
10,who was the viceroy of india when delhi became capital,['Lord Irwin'],['Lord Irwin'],Lord Irwin,True
11,which german state benefited most from the territorial changes made by the congress of vienna,['German Kingdoms of Hanover'],['German Kingdoms of Hanover'],Austria and Prussia,False
12,who sings the song everybody walk the dinosaur,['Was (Not Was)'],['Was Not Was'],Was Not Was,True
13,who is the composer of eine kleine nachtmusik,['Wolfgang Amadeus Mozart'],['Wolfgang Amadeus Mozart'],Wolfgang Amadeus Mozart,True
14,who are the candidates running for president in mexico,"['Jaime Rodríguez Calderón', 'Andrés Manuel López Obrador', 'Ricardo Anaya Cortés', 'José Antonio Meade Kuribreña']","['Jaime Rodríguez Calderón', 'Andrés Manuel López Obrador', 'Ricardo Anaya Cortés', 'José Antonio Meade Kuribreña']",Claudia Sheinbaum,False
